Failed Test Case,NT-FDUC,Path,Latest Failed Build ID
test_issue3289,1,spaCy/spacy/tests/regression/test_issue3001-3500.py,584947763
test_entity_ruler_in_pipeline_from_issue,1,spaCy/spacy/tests/regression/test_issue3526.py,584947763
test_issue4054,1,spaCy/spacy/tests/regression/test_issue4054.py,584947763
test_issue4133,1,spaCy/spacy/tests/regression/test_issue4133.py,584947763
test_issue4190,1,spaCy/spacy/tests/regression/test_issue4190.py,584947763
test_serialize_custom_tokenizer,1,spaCy/spacy/tests/serialize/test_serialize_tokenizer.py,584947763
test_da_lemmatizer_lookup_assigns,1,spaCy/spacy/tests/lang/da/test_lemma.py,574888138
test_de_lemmatizer_lookup_assigns,1,spaCy/spacy/tests/lang/de/test_lemma.py,574888138
test_fr_lemmatizer_verb,1,spaCy/spacy/tests/lang/fr/test_lemmatization.py,574888138
test_fr_lemmatizer_noun_verb_2,1,spaCy/spacy/tests/lang/fr/test_lemmatization.py,574888138
test_fr_lemmatizer_noun_2,1,spaCy/spacy/tests/lang/fr/test_lemmatization.py,574888138
test_ro_lemmatizer_lookup_assigns,1,spaCy/spacy/tests/lang/ro/test_lemmatizer.py,574888138
test_tr_lemmatizer_lookup_assigns,1,spaCy/spacy/tests/lang/tr/test_lemmatization.py,574888138
test_lt_tokenizer_handles_long_text,1,spaCy/spacy/tests/lang/lt/test_text.py,557248081
test_serialize_ext_attrs_from_bytes,1,spaCy/spacy/tests/serialize/test_serialize_extension_attrs.py,531253417
test_add_label,1,spaCy/spacy/tests/parser/test_add_label.py,510280215
test_token_api_conjuncts_chain,1,spaCy/spacy/tests/doc/test_token_api.py,504737420
test_token_api_conjuncts_simple,1,spaCy/spacy/tests/doc/test_token_api.py,504737420
test_token_api_non_conjuncts,1,spaCy/spacy/tests/doc/test_token_api.py,504737420
test_roundtrip_offsets_biluo_conversion,1,spaCy/spacy/tests/test_gold.py,503042442
test_biluo_spans,1,spaCy/spacy/tests/test_gold.py,503042442
test_doc_api_set_ents,1,spaCy/spacy/tests/doc/test_doc_api.py,503042442
test_doc_retokenize_retokenizer_attrs,1,spaCy/spacy/tests/doc/test_retokenize_merge.py,503042442
test_doc_retokenize_spans_merge_tokens,1,spaCy/spacy/tests/doc/test_retokenize_merge.py,503042442
test_spans_by_character,1,spaCy/spacy/tests/doc/test_span.py,503042442
test_span_ents_property,1,spaCy/spacy/tests/doc/test_span.py,503042442
test_da_tokenizer_handles_posessives_and_contractions,1,spaCy/spacy/tests/lang/da/test_prefix_suffix_infix.py,503042442
test_get_oracle_moves,1,spaCy/spacy/tests/parser/test_ner.py,503042442
test_get_oracle_moves_negative_entities,1,spaCy/spacy/tests/parser/test_ner.py,503042442
test_get_oracle_moves_negative_entities2,1,spaCy/spacy/tests/parser/test_ner.py,503042442
test_get_oracle_moves_negative_O,1,spaCy/spacy/tests/parser/test_ner.py,503042442
test_parser_pseudoprojectivity,1,spaCy/spacy/tests/parser/test_nonproj.py,503042442
test_issue2871,1,spaCy/spacy/tests/regression/test_issue2501-3000.py,503042442
test_issue3288,1,spaCy/spacy/tests/regression/test_issue3288.py,503042442
test_vocab_lexeme_lt,1,spaCy/spacy/tests/vocab_vectors/test_lexeme.py,503042442
